objectname,objectid,rating,baverage,average,avgweight,rank,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,imageid,year,language,other,itemtype
Eminent Domain: Microcosm,163640,0,6.06924,6.56919,1.9016,1815,Eminent Domain: Microcosm,2,2,15,15,15,2014,2,2,,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Empires at Sea,178349,0,5.58019,6.87865,2.6364,6609,Empires at Sea,2,5,130,130,60,2016,"2,3,4,5",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Entdecker,200,0,6.03264,6.48138,2.2339,1936,Entdecker,2,4,60,60,60,1996,"2,3,4","3,4",10+,No necessary in-game text,,,,,standalone
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,112686,0,6.30361,6.62607,1.6,1225,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,2,6,30,30,30,2012,"3,4,5",4,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh,221366,0,0,7.67308,1,0,Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh,2,6,30,30,30,2017,"3,4,5",,,,,,,,standalone
Escape from the Aliens in Outer Space,82168,0,6.45428,6.94204,1.8356,942,Escape from the Aliens in Outer Space,2,8,45,45,30,2010,"4,5,6,7,8","6,8",14+,No necessary in-game text,,,,,standalone
Escape the Room: Mystery at the Stargazer's Manor,193560,0,6.06146,6.69896,1.5417,1842,Escape the Room: Mystery at the Stargazer's Manor,3,8,90,90,90,2016,"1,2,3,4","2,3",8+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Escape: Zombie City,149809,0,6.10766,6.93061,1.7241,1710,Escape: Zombie City,2,4,15,15,15,2014,"2,3,4",4,10+,No necessary in-game text,,,,,standalone
Ethnos,206718,0,7.07386,7.60444,2.0625,284,Ethnos,2,6,60,60,45,2017,"2,3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Exodus: Proxima Centauri,122842,0,6.44556,7.24864,3.5789,961,Exodus: Proxima Centauri,2,6,180,180,180,2012,"2,3,4,5,6",6,14+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Exploding Kittens,172225,0,5.69937,5.88148,1.071,3987,Exploding Kittens,2,5,15,15,15,2015,"3,4,5","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Fairytale Gloom,172062,0,5.75966,6.64489,1.625,3396,Fairytale Gloom,2,5,60,60,30,2015,"2,3,4,5","3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Fallout,232918,0,6.32776,7.64866,3.0426,1163,Fallout,1,4,180,180,120,2017,"1,2,3","1,2",12+,Unplayable in another language,,,,,standalone
Fantastiqa,125046,0,6.2433,7.08481,2.3889,1365,Fantastiqa,2,4,60,60,45,2012,"2,3,4","2,3",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Fastrack,41762,0,5.77256,6.46356,1,3307,Fastrack,2,2,10,10,10,2008,2,2,4+,No necessary in-game text,,,,,standalone
First Martians: Adventures on the Red Planet,192455,0,6.23739,7.03358,4.1087,1377,First Martians: Adventures on the Red Planet,1,4,90,90,60,2017,"1,2,3,4",1,14+,Unplayable in another language,,,,,standalone
Five Tribes,157354,0,7.66263,7.80651,2.8966,48,Five Tribes,2,4,80,80,40,2014,"2,3,4",,12+,No necessary in-game text,,,,,standalone
Flick 'em Up!,169124,0,6.82161,7.11828,1.3423,506,Flick 'em Up!,2,10,45,45,30,2015,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Flick 'em Up!: Dead of Winter,207016,0,5.81227,7.20992,2.25,3003,Flick 'em Up!: Dead of Winter,1,10,45,45,30,2017,"2,3,4,5,6,7,8",2,8+,No necessary in-game text,,,,,standalone
FlowerFall,125315,0,5.72426,6.05971,1.0465,3711,FlowerFall,2,7,10,10,10,2012,"2,3,4,5,6",4,6+,No necessary in-game text,,,,,standalone
For Sale,172,0,7.11094,7.21927,1.2843,261,For Sale,3,6,30,30,30,1997,"3,4,5,6",5,8+,No necessary in-game text,,,,,standalone
Forbidden Desert,136063,0,7.1124,7.24759,2.0364,259,Forbidden Desert,2,5,45,45,45,2013,"1,2,3,4,5",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Forbidden Island,65244,0,6.75372,6.84075,1.7365,576,Forbidden Island,2,4,30,30,30,2010,"1,2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Formula D,37904,0,6.90923,7.05225,1.9971,424,Formula D,2,10,60,60,60,2008,"3,4,5,6,7,8,9,10","5,6,7,8",8+,No necessary in-game text,,,,,standalone
Fury of Dracula (third edition),181279,0,7.29706,7.65539,3.183,154,Fury of Dracula (third edition),2,5,180,180,120,2015,"2,3,4,5","3,5",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Galaxy Trucker,31481,0,7.35629,7.46219,2.3203,123,Galaxy Trucker,2,4,60,60,60,2007,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
The Game of Life,2921,0,4.21513,4.17149,1.1885,14947,The Game of Life,2,6,60,60,60,1960,"2,3,4,5,6",4,6?€?12,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
A Game of Thrones: The Board Game (Second Edition),103343,0,7.51224,7.70883,3.6627,78,A Game of Thrones: The Board Game (Second Edition),3,6,240,240,120,2011,"4,5,6",6,14+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Gemblo,19427,0,6.20013,6.84508,1.8984,1457,Gemblo,2,6,30,30,30,2005,"2,3,4,6","4,6",8+,No necessary in-game text,,,,,standalone
GembloQ,162012,0,0,6.38276,1.3333,0,GembloQ,2,4,30,30,20,2014,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Get Bit!,30539,0,6.05432,6.18938,1.1221,1865,Get Bit!,3,6,20,20,20,2007,"3,4,5,6","5,6",6+,No necessary in-game text,,,,,standalone
Get Lucky,120447,0,5.67025,6.06505,1.5938,4404,Get Lucky,2,6,20,20,20,2014,"3,4,5,6",5,10+,No necessary in-game text,,,,,standalone
Ghost Fightin' Treasure Hunters,146312,0,6.22407,7.12247,1.6545,1397,Ghost Fightin' Treasure Hunters,2,4,30,30,30,2013,"1,2,3,4",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Ghost Stories,37046,0,7.23258,7.37884,2.8989,181,Ghost Stories,1,4,60,60,60,2008,"1,2,3,4",4,12+,No necessary in-game text,,,,,standalone
Ghostbusters: The Board Game,173275,0,5.84073,6.48472,2.2162,2819,Ghostbusters: The Board Game,1,4,120,120,30,2015,"1,2,3,4","1,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Ghosts!,2290,0,5.97125,6.38458,1.32,2154,Ghosts!,2,2,15,15,15,1980,2,2,6+,No necessary in-game text,,,,,standalone
Give Me the Brain!,176,0,5.68445,5.84056,1.284,4180,Give Me the Brain!,3,8,30,30,30,1996,"3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Glen More,66362,0,7.12413,7.35083,2.6711,251,Glen More,2,5,70,70,45,2010,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Gloom,12692,0,6.21422,6.36834,1.6413,1420,Gloom,2,5,60,60,60,2005,"2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Gloom in Space,214898,0,5.55504,7.3,2,7892,Gloom in Space,2,5,60,60,60,2017,"3,4,5",,10+,,,,,,standalone
Glory to Rome,19857,0,7.32014,7.49439,2.924,142,Glory to Rome,2,5,60,60,60,2005,"2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Gobblet,2266,0,6.07998,6.58119,1.8585,1786,Gobblet,2,2,20,20,20,2000,2,2,8+,No necessary in-game text,,,,,standalone
Gobblet Gobblers,13230,0,5.66099,6.15314,1.3704,4540,Gobblet Gobblers,2,2,5,5,5,2003,2,2,3+,No necessary in-game text,,,,,standalone
Great Western Trail,193738,0,8.0022,8.28374,3.7086,10,Great Western Trail,2,4,150,150,75,2016,"2,3,4",3,12+,No necessary in-game text,,,,,standalone
The Grizzled,171668,0,7.07627,7.32551,1.9187,281,The Grizzled,2,5,30,30,30,2015,"3,4,5","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
The Grizzled: At Your Orders!,194562,0,6.66441,7.82459,2.2308,0,The Grizzled: At Your Orders!,1,5,0,0,0,2016,"1,2,3,4,5","4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,expansion
Guildhall,132372,0,6.65433,7.01467,2.0625,673,Guildhall,2,4,45,45,30,2012,"2,3,4",3,10+,No necessary in-game text,,,,,standalone
Haggis,37628,0,6.66015,7.01554,2.1269,662,Haggis,2,3,45,45,45,2010,"2,3",2,10+,No necessary in-game text,,,,,standalone
Halli Galli,2944,0,5.67193,5.79506,1.0134,4374,Halli Galli,2,6,10,10,10,1990,"3,4,5,6","4,5",6?€?16,No necessary in-game text,,,,,standalone
Halli Galli Extreme,15311,0,5.52388,5.69741,1.2857,10222,Halli Galli Extreme,2,6,20,20,20,2005,"4,5,6","4,5",6+,No necessary in-game text,,,,,standalone
Hamsterrolle,903,0,6.34191,6.83405,1.0779,1135,Hamsterrolle,2,4,30,30,30,2000,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Hanabi,98778,0,7.09469,7.18395,1.7092,269,Hanabi,2,5,25,25,25,2010,"2,3,4,5",4,10+,No necessary in-game text,,,,,standalone
Le Havre,35677,0,7.78627,7.91557,3.7587,33,Le Havre,1,5,150,150,30,2008,"1,2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Hotel Tycoon,1502,0,5.38848,5.42286,1.4317,14661,Hotel Tycoon,2,4,60,60,60,1974,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Hounded,207919,0,5.63521,6.92383,2,5018,Hounded,2,2,25,25,15,2016,2,2,,,,,,,standalone
Hunt for the Ring,216070,0,5.6426,7.58267,3,4878,Hunt for the Ring,2,5,180,180,90,2018,"2,3,4,5",,,,,,,,standalone
I'm the Boss!,115,0,6.48181,6.82273,1.9801,900,I'm the Boss!,3,6,60,60,60,1994,"4,5,6","5,6",10+,No necessary in-game text,,,,,standalone
Ice Cool,177524,0,6.55164,6.93243,1,795,Ice Cool,2,4,20,0,20,2016,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Ice Cream,186437,0,0,6.875,0,0,Ice Cream,3,6,20,0,20,2015,,,,,,,,,standalone
Ideology: The War of Ideas,8059,0,5.76217,6.16354,2.7525,3383,Ideology: The War of Ideas,2,5,90,90,90,2003,"3,4,5",5,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Ignis,136240,0,5.56287,6.11285,1.5,7448,Ignis,2,2,20,20,20,2013,2,2,,No necessary in-game text,,,,,standalone
Imperial Settlers,154203,0,7.36461,7.53767,2.7702,120,Imperial Settlers,1,4,90,90,45,2014,"1,2,3,4",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Indigo,116954,0,6.40693,6.86817,1.5036,1018,Indigo,2,4,30,30,30,2012,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Ingenious,9674,0,7.02384,7.1592,1.9225,322,Ingenious,1,4,45,45,45,2004,"2,3,4",2,8+,No necessary in-game text,,,,,standalone
Ion: A Compound Building Game,174611,0,5.63887,6.52805,1.3333,4940,Ion: A Compound Building Game,2,7,40,40,20,2015,"3,4,5,6,7",4,8+,No necessary in-game text,,,,,standalone
Jaipur,54043,0,7.41356,7.536,1.5275,100,Jaipur,2,2,30,30,30,2009,2,2,8+,No necessary in-game text,,,,,standalone
Jamaica,28023,0,6.93669,7.09128,1.6433,398,Jamaica,2,6,60,60,30,2007,"3,4,5,6",6,8+,No necessary in-game text,,,,,standalone
Jeju Island,183643,0,5.62775,6.66531,1.25,5189,Jeju Island,2,4,30,30,30,2015,"2,3,4","3,4",5+,,,,,,standalone
Jenga,2452,0,5.51311,5.5595,1.1333,11105,Jenga,1,8,20,20,20,1983,"2,3,4,5,6",4,5+,No necessary in-game text,,,,,standalone
Jenga BOOM,136609,0,5.44658,4.81196,1,14208,Jenga BOOM,1,4,10,10,10,2012,,,,,,,,,standalone
Jump Drive,205597,0,6.37793,7.11289,1.8788,1065,Jump Drive,2,4,30,30,10,2017,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Junk Art,193042,0,6.78526,7.54503,1.2222,538,Junk Art,2,6,30,30,30,2016,"2,3,4,5,6","4,5",6+,No necessary in-game text,,,,,standalone
Kahuna,394,0,6.47831,6.6572,2.0531,909,Kahuna,2,2,40,40,30,1998,2,2,10+,No necessary in-game text,,,,,standalone
Kill Doctor Lucky,257,0,6.00127,6.1506,1.6508,2038,Kill Doctor Lucky,3,8,45,45,45,1996,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
King of Tokyo,70323,0,7.18622,7.27597,1.5076,215,King of Tokyo,2,6,30,30,30,2011,"3,4,5,6","4,5",6+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Kingdom Builder,107529,0,6.88857,7.01252,2.0713,448,Kingdom Builder,2,4,45,45,45,2011,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Kingdomino,204583,0,7.21919,7.44613,1.2073,190,Kingdomino,2,4,20,20,15,2016,"2,3,4","2,4",6+,No necessary in-game text,,,,,standalone
Kingsburg,27162,0,7.10373,7.23094,2.4289,265,Kingsburg,2,5,90,90,90,2007,"2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Kitty Paw,180867,0,5.60111,6.01418,1.3077,5856,Kitty Paw,1,4,30,30,15,2015,"2,3,4",4,8+,No necessary in-game text,,,,,standalone
Kobayakawa,142325,0,5.96906,6.35821,1.2113,2168,Kobayakawa,3,6,15,15,15,2013,"3,4,5,6",,8+,No necessary in-game text,,,,,standalone
Kory??,140535,0,6.19452,6.78322,1.88,1475,Kory??,2,4,20,20,10,2013,"2,3,4",3,10+,No necessary in-game text,,,,,standalone
Labyrinth,1219,0,6.21989,6.36761,1.393,1409,Labyrinth,2,4,20,20,20,1986,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Lanterns: The Harvest Festival,160851,0,6.76565,7.02896,1.5793,567,Lanterns: The Harvest Festival,2,4,30,30,30,2015,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Las Vegas,117959,0,6.84051,7.09046,1.2043,486,Las Vegas,2,5,30,30,30,2012,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Lectio,19184,0,5.96156,6.87785,1.9333,2210,Lectio,3,5,20,20,20,2004,"3,4,5",5,10+,No necessary in-game text,,,,,standalone
Legend of the Five Rings: The Card Game,184151,0,6.52685,8.14996,4.0286,830,Legend of the Five Rings: The Card Game,2,2,90,90,45,2017,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Legends of Andor,127398,0,7.07253,7.3046,2.768,287,Legends of Andor,2,4,90,90,60,2012,"1,2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Lemonade Stand,104655,0,5.6211,6.04003,1.5,5350,Lemonade Stand,2,4,20,20,15,2012,"2,3,4",,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Letters from Whitechapel,59959,0,7.25213,7.47417,2.6828,170,Letters from Whitechapel,2,6,120,120,120,2011,"2,3,4,5,6",2,12+,No necessary in-game text,,,,,standalone
Lewis & Clark,140620,0,7.34717,7.56075,3.3179,130,Lewis & Clark,1,5,120,120,120,2013,"1,2,3,4",3,12+,No necessary in-game text,,,,,standalone
Liar's Dice,45,0,6.77419,6.9232,1.2621,551,Liar's Dice,2,6,30,30,15,1800,"3,4,5,6","5,6",8+,No necessary in-game text,,,,,standalone
Libertalia,125618,0,7.06376,7.24496,2.2349,292,Libertalia,2,6,45,45,45,2012,"3,4,5,6",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Lobo 77,3337,0,5.51317,5.59791,1.069,11100,Lobo 77,2,8,30,30,30,1993,"3,4,5,6,7,8",5,8+,No necessary in-game text,,,,,standalone
Loony Quest,136991,0,6.68931,7.08289,1.2258,627,Loony Quest,2,5,30,30,20,2015,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Loopin' Louie,327,0,6.67054,6.86403,1.0539,650,Loopin' Louie,2,4,10,10,10,1992,"2,4",4,4+,No necessary in-game text,,,,,standalone
Lord of the Fries,1536,0,5.74587,5.95634,1.2945,3500,Lord of the Fries,3,8,45,45,45,1998,"3,4,5,6","4,5,6",10+,No necessary in-game text,,,,,standalone
Lord of the Rings: The Duel,4610,0,5.70962,5.91595,1.7048,3856,Lord of the Rings: The Duel,2,2,45,45,45,2002,2,2,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
The Lords of Rock,178958,0,5.5967,6.88825,1.5,5999,The Lords of Rock,2,5,45,45,20,2016,"2,3,4,5",4,8+,,,,,,standalone
Lords of Waterdeep,110327,0,7.67317,7.79056,2.497,46,Lords of Waterdeep,2,5,120,120,60,2012,"2,3,4,5","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Lords of Waterdeep: Scoundrels of Skullport,134342,0,7.89565,8.23349,2.648,0,Lords of Waterdeep: Scoundrels of Skullport,2,6,60,60,60,2013,"2,3,4,5,6","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
Lost Cities,50,0,7.05814,7.14822,1.512,296,Lost Cities,2,2,30,30,30,1999,2,2,8+,No necessary in-game text,,,,,standalone
Lost in R'lyeh,197707,0,5.62904,6.18732,1.5,5158,Lost in R'lyeh,2,6,45,0,45,2016,"2,3,4,5","4,5",8,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Love Letter,129622,0,7.20916,7.2905,1.2022,198,Love Letter,2,4,20,20,20,2012,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
LYNGK,217083,0,6.10751,7.91104,2.7,1712,LYNGK,2,2,60,60,30,2017,2,2,12+,No necessary in-game text,,,,,standalone
Macroscope,193164,0,5.58711,6.04478,1,6339,Macroscope,2,6,30,30,30,2016,"2,3,4",2,5+,No necessary in-game text,,,,,standalone
Mafia de Cuba,176558,0,6.29289,6.67721,1.5152,1243,Mafia de Cuba,6,12,20,20,10,2015,"7,8,9,10,11,12","8,9,10",10+,No necessary in-game text,,,,,standalone
Mage Knight Board Game,96848,0,7.92671,8.12926,4.2297,16,Mage Knight Board Game,1,4,150,150,150,2011,"1,2,3","1,2",14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Mage Wars Arena,101721,0,7.35197,7.76075,3.6289,126,Mage Wars Arena,2,2,90,90,90,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
The Magic Labyrinth,41916,0,6.51838,6.88333,1.2609,847,The Magic Labyrinth,2,4,15,15,15,2009,"2,3,4","3,4",4+,No necessary in-game text,,,,,standalone
Magic Maze,209778,0,6.97941,7.36837,1.7424,356,Magic Maze,1,8,15,15,3,2017,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Magic: The Gathering,463,0,7.30095,7.44581,3.1585,152,Magic: The Gathering,2,2,20,20,20,1993,2,2,12+,Unplayable in another language,,,,,standalone
Magic: The Gathering ?€? Archenemy: Nicol Bolas,231392,0,0,7.34615,0,0,Magic: The Gathering ?€? Archenemy: Nicol Bolas,2,4,30,30,30,2017,"3,4",4,,,,,,,standalone
Magic: The Gathering ?€? Explorers of Ixalan,231309,0,0,7.04762,0,0,Magic: The Gathering ?€? Explorers of Ixalan,2,4,30,30,30,2017,4,4,,,,,,,standalone
Mag??Blast (Third Edition),23142,0,5.83756,6.05486,1.5545,2842,Mag??Blast (Third Edition),2,8,20,20,20,2006,"2,3,4,5,6",,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Mahjong,2093,0,6.71439,7.0158,2.5545,604,Mahjong,3,4,120,120,120,1850,4,4,10+,No necessary in-game text,,,,,standalone
Mansions of Madness,83330,0,7.12541,7.36624,3.2397,248,Mansions of Madness,2,5,120,120,120,2011,"2,3,4,5",5,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Mansions of Madness: Second Edition,205059,0,7.89268,8.23532,2.6344,19,Mansions of Madness: Second Edition,1,5,180,180,120,2016,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Marrakech,29223,0,6.31428,6.70112,1.3784,1196,Marrakech,2,4,30,30,30,2007,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Mastermind,2392,0,5.45422,5.48103,1.8112,14047,Mastermind,2,2,20,20,20,1971,2,2,8+,No necessary in-game text,,,,,standalone
Mechs vs. Minions,209010,0,7.87734,8.25941,2.4545,21,Mechs vs. Minions,2,4,90,90,60,2016,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Memoir '44,10630,0,7.39083,7.53848,2.277,114,Memoir '44,2,8,60,60,30,2004,"2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Merchant of Venus,230,0,6.65851,7.17237,2.8303,666,Merchant of Venus,1,6,180,180,180,1988,"2,3,4,5",,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Merchants & Marauders,25292,0,7.2248,7.44546,3.223,185,Merchants & Marauders,2,4,180,180,180,2010,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Metro,559,0,6.21079,6.38266,1.7028,1427,Metro,2,6,30,30,30,1997,"2,3,4,5,6",,8+,No necessary in-game text,,,,,standalone
Mice and Mystics,124708,0,7.22437,7.44244,2.6511,186,Mice and Mystics,1,4,120,120,120,2012,"1,2,3,4",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Mice and Mystics: Heart of Glorm,144777,0,6.5077,8.00956,2.6207,0,Mice and Mystics: Heart of Glorm,1,4,90,90,60,2013,"1,2,3,4","2,4",8+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
Mission: Red Planet (Second Edition),176920,0,7.24556,7.60055,2.2349,172,Mission: Red Planet (Second Edition),2,6,90,90,45,2015,"3,4,5,6",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Mistfall,168274,0,6.20152,6.92639,3.9231,1455,Mistfall,1,4,120,120,120,2015,"1,2,3,4",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Modern Art,118,0,7.17084,7.33349,2.3201,222,Modern Art,3,5,45,45,45,1992,"3,4,5","4,5",10+,No necessary in-game text,,,,,standalone
Monopoly,1406,0,4.3447,4.4028,1.6767,14945,Monopoly,2,8,180,180,60,1933,"3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Monopoly Gamer,230408,0,5.84918,6.60519,1.2273,2774,Monopoly Gamer,2,4,45,45,45,2017,"2,3,4",4,5+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Monopoly: United States Army,11410,0,0,4.55217,2,0,Monopoly: United States Army,2,8,180,180,180,2005,,,,,,,,,standalone
Morels,122298,0,6.76646,7.06311,1.7328,565,Morels,2,2,30,30,30,2012,2,2,10+,No necessary in-game text,,,,,standalone
Mottainai,175199,0,6.59073,7.06948,2.9821,745,Mottainai,2,5,30,30,15,2015,"2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Mr. Jack,21763,0,6.93331,7.07502,2.189,404,Mr. Jack,2,2,30,30,30,2006,2,2,10+,No necessary in-game text,,,,,standalone
Munchkin,1927,0,5.77451,5.93908,1.7891,3292,Munchkin,3,6,120,120,60,2001,"3,4,5,6",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Munchkin Steampunk,164031,0,5.66591,6.8411,1.875,4469,Munchkin Steampunk,3,6,0,0,0,2015,"2,3,4,5",2,,,,,,,standalone
Mysterium,181304,0,7.32186,7.48312,1.9256,140,Mysterium,2,7,42,42,42,2015,"3,4,5,6,7","5,6",8+,No necessary in-game text,,,,,standalone
Mystic Vale,194607,0,6.9307,7.31167,2.3,407,Mystic Vale,2,4,45,45,45,2016,"2,3,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Mystic Vale: Vale of the Wild,220502,0,6.11642,8.08726,0,0,Mystic Vale: Vale of the Wild,2,4,45,45,45,2017,"2,3,4",2,,Moderate in-game text - needs crib sheet or paste ups,,,,,expansion
Nanuk,54433,0,5.76948,6.22706,1.5686,3328,Nanuk,5,8,45,45,45,2009,"5,6,7,8",8,10+,No necessary in-game text,,,,,standalone
Near and Far,195421,0,7.24332,8.11307,2.7636,174,Near and Far,2,4,120,120,60,2017,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Nemo's War (second edition),187617,0,6.66189,8.25275,2.7963,661,Nemo's War (second edition),1,4,120,120,60,2017,1,1,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Nerdy Inventions,187787,0,5.52813,5.6982,1.6667,9857,Nerdy Inventions,2,4,30,30,25,2015,"2,3,4",3,,No necessary in-game text,,,,,standalone
Nevermore,173047,0,6.0076,6.74491,1.9655,2020,Nevermore,3,6,60,60,45,2015,"3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
New York 1901,174660,0,6.62176,6.95861,2.0741,716,New York 1901,2,4,60,60,30,2015,"2,3,4",4,8+,No necessary in-game text,,,,,standalone
Nicht die Bohne!,192,0,5.90729,6.36871,1.3725,2462,Nicht die Bohne!,3,6,45,45,45,1999,"4,5,6","5,6",8+,No necessary in-game text,,,,,standalone
Ninja All-Stars,164448,0,5.64307,6.66481,2.625,4871,Ninja All-Stars,2,4,90,90,90,2015,"2,3,4",2,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
NMBR 9,217449,0,6.45115,7.03132,1.1316,948,NMBR 9,1,4,20,20,20,2017,"1,2,3,4",4,8+,No necessary in-game text,,,,,standalone
NMBR 9,217449,0,6.45115,7.03132,1.1316,948,NMBR 9,1,4,20,20,20,2017,"1,2,3,4",4,8+,No necessary in-game text,,,,,standalone
No Thanks!,12942,0,6.94082,7.04239,1.1499,393,No Thanks!,3,7,30,30,20,2004,"3,4,5","4,5",8+,No necessary in-game text,,,,,standalone
Nomads,216985,0,5.54589,6.74563,0,8476,Nomads,2,5,45,45,25,2017,,,,,,,,,standalone
Noria,233676,0,5.92715,6.88751,3.6071,2372,Noria,2,4,120,120,70,2017,"2,3,4","3,4",12+,No necessary in-game text,,,,,standalone
Nothing Personal,120523,0,6.59266,7.17548,2.7573,744,Nothing Personal,3,5,120,120,120,2013,"3,4,5","4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Notre Dame: 10th Anniversary,213984,0,6.19917,7.70727,2.5714,0,Notre Dame: 10th Anniversary,2,5,75,75,45,2017,"2,3,4,5",,8+,No necessary in-game text,,,,,standalone
Octopus' Garden,85800,0,5.68757,6.69736,1.4706,4138,Octopus' Garden,2,4,45,45,45,2011,"3,4",4,6+,No necessary in-game text,,,,,standalone
Omen: A Reign of War,94104,0,6.46856,7.39621,2.3444,924,Omen: A Reign of War,2,2,30,30,30,2011,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Ominoes,195484,0,5.64111,6.87008,1.2857,4907,Ominoes,2,4,15,15,15,2016,"2,3,4",2,6+,No necessary in-game text,,,,,standalone
